,rewards,balloon_number_session,run_num,pop_range_0,pop_range_1,balloon_number,press_time_error,press_time_time,balloon_in_bag,trkp_press_time,key_pressed,log_time,reward_appear_time_time,reward_appear_time_error,rt,grand_total,bag_ID_number,eeg_pulse_time,trial,set_number,pop_status,total,block,balloon_size,log_num,trkp_press_time_error,trkp_press_time_time
130,0.13,5.0,2.0,8.0,16.0,5.0,0.004473623987450992,2048.867366344007,5.0,,4,2049.4173663440074,2048.4628298837083,0.0,0.4045364602989139,3.240000000000001,0.0,,6.0,0.0,not_popped,1.08,0.0,135.0,0.0,,
131,0.14,5.0,2.0,8.0,16.0,5.0,0.00045700394912273623,2051.2256927647923,5.0,,4,2051.7756927647924,2050.804985512739,0.0,0.4207072520530346,3.240000000000001,0.0,,7.0,0.0,not_popped,1.2200000000000002,0.0,140.0,0.0,,
132,0.07,5.0,2.0,8.0,16.0,5.0,0.0006390297719462978,2053.533672145173,5.0,,1,2054.033672145173,2053.047056861321,0.0,0.48661528385218844,4.450000000000001,0.0,,8.0,0.0,not_popped,1.2200000000000002,0.0,140.0,0.0,,
133,0.23,6.0,2.0,0.0,8.0,7.0,0.0004858177780988626,2056.3869310723344,1.0,,4,2056.9369310723346,2056.147702180265,0.0,0.23922889206960463,4.450000000000001,1.0,,0.0,0.0,not_popped,0.23,0.0,105.0,0.0,,
134,0.18,6.0,2.0,0.0,8.0,7.0,0.0006035665978743054,2058.5569664634736,1.0,,4,2059.106966463474,2058.231443201571,0.0,0.3255232619026174,4.450000000000001,1.0,,1.0,0.0,not_popped,0.41000000000000003,0.0,110.0,0.0,,
135,0.16,6.0,2.0,0.0,8.0,7.0,0.0005093675420084764,2061.19101559881,1.0,,4,2061.74101559881,2060.5819130055097,0.0,0.609102593300122,4.440000000000001,1.0,,2.0,0.0,not_popped,0.5700000000000001,0.0,115.0,0.0,,
136,0.06,6.0,2.0,0.0,8.0,7.0,0.00048457102570864663,2063.2593621394044,1.0,,1,2063.7593621394044,2062.949054934119,0.0,0.3103072052854259,5.010000000000002,1.0,,3.0,0.0,not_popped,0.5700000000000001,0.0,115.0,0.0,,
137,0.16,7.0,2.0,0.0,8.0,8.0,0.0005021640847644449,2066.2628928031363,2.0,,4,2066.8128928031365,2065.8996148366837,0.0,0.36327796645264243,5.010000000000002,1.0,,0.0,0.0,not_popped,0.16,0.0,105.0,0.0,,
138,0.11,7.0,2.0,0.0,8.0,8.0,0.0004669779668802221,2068.331579152973,2.0,,4,2068.8815791529732,2068.0417346146623,0.0,0.2898445383107173,5.010000000000002,1.0,,1.0,0.0,not_popped,0.27,0.0,110.0,0.0,,
139,0.12,7.0,2.0,0.0,8.0,8.0,0.002992759417338675,2070.4503307772143,2.0,,4,2071.0003307772145,2070.0671351130304,0.0,0.38319566418385875,5.010000000000002,1.0,,2.0,0.0,not_popped,0.39,0.0,115.0,0.0,,
140,0.07,7.0,2.0,0.0,8.0,8.0,0.0005363805064462213,2073.021566319737,2.0,,1,2073.521566319737,2072.5259626450875,0.0,0.4956036746493737,5.3900000000000015,1.0,,3.0,0.0,not_popped,0.39,0.0,115.0,0.0,,
141,0.2,8.0,2.0,8.0,16.0,2.0,0.003238785186795212,2075.8678052007854,2.0,,4,2076.4178052007856,2075.3515284350933,0.0,0.516276765692055,5.380000000000002,0.0,,0.0,0.0,not_popped,0.2,0.0,105.0,0.0,,
142,0.09,8.0,2.0,8.0,16.0,2.0,0.01478481888011629,2078.0486784703626,2.0,,4,2078.5986784703628,2077.677189532379,0.0,0.3714889379834858,5.380000000000002,0.0,,1.0,0.0,not_popped,0.29000000000000004,0.0,110.0,0.0,,
143,0.17,8.0,2.0,8.0,16.0,2.0,0.00047224203171936097,2079.946177291489,2.0,,4,2080.4961772914894,2079.727395689784,0.0,0.2187816017053592,5.380000000000002,0.0,,2.0,0.0,not_popped,0.4600000000000001,0.0,115.0,0.0,,
144,0.17,8.0,2.0,8.0,16.0,2.0,0.00035380057170186774,2082.0985563163513,2.0,,4,2082.6485563163515,2081.8361313223495,0.0,0.2624249940017762,5.380000000000002,0.0,,3.0,0.0,not_popped,0.6300000000000001,0.0,120.0,0.0,,
